2014-02-27 10:54:06.935 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:54:06.935 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:54:06.950 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:54:09.201 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:54:09.201 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:54:09.201 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:54:11.607 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:54:11.607 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:54:23.810 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:54:23.810 AM	Validate	**Start Validate***
2014-02-27 10:54:23.810 AM	Validate	**For each***
2014-02-27 10:54:23.810 AM	Validate	**For each***
2014-02-27 10:54:23.810 AM	Validate	**End Validate Myret True**
2014-02-27 10:54:23.810 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:54:23.810 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:54:23.810 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:54:23.826 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:54:25.357 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:54:25.357 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:54:27.435 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:54:27.435 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 10:54:37.483 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 10:54:37.483 AM	Validate	**Start Validate***
2014-02-27 10:54:37.483 AM	Validate	**For each***
2014-02-27 10:54:37.483 AM	Validate	**For each***
2014-02-27 10:54:37.483 AM	Validate	**End Validate Myret True**
2014-02-27 10:54:37.483 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 10:54:37.483 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 10:54:37.483 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 10:54:37.483 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 10:54:39.264 AM	ToolStripButton2_Click	**For Row Delete**
2014-02-27 10:54:39.264 AM	ToolStripButton2_Click	**Row Deleted**
2014-02-27 10:54:39.264 AM	ToolStripButton2_Click	**DS Merged**
2014-02-27 10:54:41.451 AM	ToolStripButton2_Click	**Copy File**
2014-02-27 10:54:41.451 AM	ToolStripButton2_Click	**End Submit***
2014-02-27 11:17:37.196 AM	ToolStripButton2_Click	**Start Submit***
2014-02-27 11:17:37.196 AM	Validate	**Start Validate***
2014-02-27 11:17:37.196 AM	Validate	**For each***
2014-02-27 11:17:37.196 AM	Validate	**For each***
2014-02-27 11:17:37.196 AM	Validate	**End Validate Myret True**
2014-02-27 11:17:37.196 AM	ToolStripButton2_Click	**DS2 is nothingStart Submit False**
2014-02-27 11:17:37.196 AM	ToolStripButton2_Click	** Delete Original File **
2014-02-27 11:17:37.196 AM	ToolStripButton2_Click	**DbAdapter**
2014-02-27 11:17:37.321 AM	ToolStripButton2_Click	**DbAdapter True**
2014-02-27 11:17:37.321 AM	ToolStripButton2_Click	**For Row Delete**
